id_instance,id_conversation,user_code,transcription,id_tone,detonator_dialogue
277,31,1,Yo estoy viendo que hacer caritaTriste o no hacer ,0,0
278,31,2,Nms [@usuario1] ya es media noche y tu con tus cosas jaja ,1,0
279,31,1,jaja ,0,0
280,31,1,ora ,0,0
282,31,1,Nah ni estoy viendo nada ,0,0
283,31,1,jaja ,0,0
284,31,1,Estoy acostado valiendo madres ,0,0
285,31,2,caritan ,1,0
287,31,1,Para que Para tener una conversacion ,1,0
288,31,1,caritae ,1,0
289,31,1,No todo gira a tu alrededor cariño asi que bye no te volvere a hablar [@usuario1]: alv ,1,0
290,31,2,Que te sucede nms ,1,0
291,31,2,Ni al caso con tu comentario ,1,0
296,33,1,[@usuario2] recuerdas cuando jugamos parted chilona en tu casa ,0,0
302,33,2,Una vez jugamos eso en mi casa con [@usuario3] y [@usuario_ext1] le dio una patada y [@usuario3] casi se moria  ,1,0
304,33,4,caritaFeliz ,1,0
305,33,1,eras un poco odioso y bueno todos lo fuimos alguna vez caritaFeliz ,1,0
309,34,4,Si no te metas ,1,0
311,34,3,Na no no le va ir peor ,1,0
313,35,1,Hola ,0,0
315,35,3,Si tu que ,1,0
317,35,1,Hay no me ataquen ,0,0
318,36,2,Te tolero bajo ciertas circunstancias ,1,1
320,36,1,Kha ,0,0
323,36,2,[@usuario3] no pienso en ti la verdad no te conozco ,1,0
327,36,2,caritao ,1,0
328,36,1,Quien sigue ahi ,0,0
332,36,2,A ok ,0,0
333,36,1,caritaFeliz ,1,0
334,37,1,Alguien se levo las laves del profe [@usuario_ext1] ,0,0
339,37,2,No estes chocando [@usuario1] ,1,0
341,38,1,Confiezo que nunca he tenido novia tengo 22 años y los acabo de cumplir solo he tenido novios ,0,0
342,38,2,A mi me vale verga pinche sedoso de cagada caritaFeliz ,1,1
344,38,1,Nop ,0,0
345,38,4,No se si es broma o realmente existe gente tan pendeja como este wey caritaFeliz ,1,0
347,39,2,[meme347] ,1,0
348,39,1,[meme348] ,1,0
352,39,1,[meme352] ,0,0
354,40,1,Si existen los angulos negativos ,0,0
359,40,2,jaja tu apenas vas wey ,1,0
360,40,2,Cuando yo ya legue ,1,0
362,40,2,Y yo ya legue ,1,0
365,40,1,Ese moro ,1,0
366,40,1,jaja ,1,0
369,40,2,Normal ,0,0
373,40,1,No mames ,1,0
374,40,2,A si de pelada ,1,0
375,41,1,la pug en la graduacion me miro feo Y cuando estaba atras de mi grito la beyda aguas con la pug ,1,1
377,41,1,[img37] ,1,0
378,41,1,En lugar del niño deberia de tener la foto de la [@usuario_ext1] ,1,0
379,42,1,no tires ladona a labasura yo voy por ela ,0,0
380,42,2,jaja ,0,0
381,42,1,mucha risa niñita pendeja ,1,1
383,42,1,caritao ,1,0
391,45,1,caritao ,0,0
394,45,2,pues si no manches bura la maestra lo ecaritaFelizlico un chingo de veces para que salgas con eso mejor ya matate que nadie te quiere pinche nerd ,1,0
395,45,1,caritar ,0,0
398,46,2,Claro que no estupida ,1,1
401,46,1,Mm ,0,0
402,47,1,Hola me puedes ecaritaFelizlicar algo sobre la tarea Porfavor ,0,0
403,47,2,No por que me caes mal idiota ,1,1
404,47,1,Porque me hablad asi solo te estoy pidiendo un favor ,0,0
405,47,2,Aprende a escribir baboso ,1,0
406,47,2,Menos te la voy a pasar por baboso ,1,0
408,48,2,No aun no ,0,0
412,48,2,A que hora la nesecitas para ver la si la termino mañana por que yo tambien Tengo que hacer mi tarea ,0,0
416,49,2,Pero prefiero la ayuda de los otros ,0,0
417,49,2,tu me caes mal ,1,0
418,49,2,Eres demasiado aplicada y eso no va conmigo tonta ,1,0
419,50,1,[img419] ,0,0
420,50,1,No wey y el otro dia que fui a dar un rol con el [@usuario5] en baica ,1,1
421,50,1,carita ,0,0
422,50,2,jaja ,1,0
426,50,3,jaja celosa jaja no te enojes mija tambien te dare verga a ti ,1,0
427,50,3,jaja ii ,1,0
428,50,1,carita ,0,0
429,50,4,Pegame un mamadon en la pura cabezona 8============D-- ,1,0
430,50,3,[meme430]  ,1,0
431,50,2,jaja el [@usuario4] anda con todo con la [@usuario_ext1] ,1,0
432,50,5,[meme432] ,1,0
434,50,2,[meme434] ,1,0
438,50,3,[meme438] ,1,0
439,50,5,Estoy bien narizon ,1,0
440,50,5,ay va tu selfie ,1,0
441,50,5,perdon dia internacional del mas narizon ,1,0
444,50,5,no mas porque estamos entre negros no le hablan al wero ,1,0
447,50,5,Ponte pecho tiera pues jaja ,1,0
449,50,4,Esta ,0,0
450,50,3,hey weyes no dejan escribir ,0,0
453,50,4,es negra ,1,0
454,50,5,agua con el naristoteles ,1,0
455,50,3,no mames [@usuario4] alivianate wey ya estas grande para que andes con tus mamadas en el pito ,1,0
457,50,5,jaja te la rifaste ,1,0
458,50,4,Esa mamada ,1,0
462,50,5,hermana mi macana ,1,0
463,50,3,la verga inchada que traigo de campana ding ding ding… hora de comer [@usuario5] ,1,0
464,50,3,jaja pito al carbon ,1,0
465,50,3,jaja ,1,0
467,50,4,jaja riendo ,1,0
468,50,4,te awitas ,1,0
469,50,5,lo traes atras ya mira la cebe'p ,0,0
470,50,4,o que [@usuario2] ,0,0
472,50,2,[meme472] ,1,0
473,50,4,el ñengo ,1,0
476,50,3,come y que te leguen hasta el cerebro jaja ,1,0
478,50,3,jaja que pedo [@usuario5] te descubrieron ,1,0
480,50,3,jaja que pedo [@usuario5] que porque eres señorita ,1,0
482,50,3,jaja que pedo [@usuario4] ,1,0
484,50,4,la pura concha ,1,0
485,50,5,tu choncha panocha negra ,1,0
486,50,5,le meti mi clavo wero ,1,0
487,50,3,jaja clavo no seas mamon [@usuario5] jaja ,1,0
489,50,4,o sera que quieren pito ,1,0
491,50,4,te equivocas era leche en polvo ,1,0
493,50,5,[meme493] ,1,0
495,50,5,[meme495] ,1,0
496,50,4,[@usuario5] de mother fucker jaja ,1,0
497,50,2,Uu flow ,0,0
499,50,4,Te la meto hasta el cerebro ,1,0
501,51,2,[@usuario1] tonta ee ,1,0
503,51,2,caritao ,1,0
507,51,2,Pero yo no era como los nacia de ahi caritaTriste ,0,0
509,51,1,[img509] calculadora conalep ,1,0
510,51,1,Entonces usabas de esas o mas bien aun la sigues usando ,1,0
512,51,1,pero se te quedo lo naco ,1,0
513,51,1,se te pego mas bien ,1,0
514,51,2,carital ,0,0
515,51,1,naco ,1,0
516,51,2,no me digas asi u ya no caritaTriste ,0,0
519,51,1,naco ,1,0
521,52,1,caritaFeliz ,0,0
525,52,3,No es cierto ,0,0
530,52,6,Matenme ,1,0
534,52,1,Tipo rosa de Guadalupe we caritaFeliz ,1,0
535,52,3,Siempre ha sido naco caritaFeliz ,1,0
545,53,2,Tambien ,0,0
547,53,1,Me toco en el edificio 1 de ciencias de la salud en el 36 caritaTristed ,0,0
550,54,3,[@usuario_ext1] [@usuario_ext2] ,1,0
551,54,8,El paco no esta caritaTriste ,1,0
552,54,1,Quien es una bruja puta caritaFeliz ,1,1
553,54,8,Pronto la [@usuario1] caritaTriste ,1,0
555,54,1,Saldras a espantar a los niños caritaFeliz ,1,0
556,54,8,A venderse mas bien ,1,0
557,54,1,No mms caritaFeliz ,1,0
561,54,9,Vale animal ,1,0
562,54,9, ,0,0
563,54,3,Pinche gordito :0 ,1,0
566,54,8,jaja no en persona caritaFeliz ,1,0
567,54,3,jaja ,1,0
568,54,3,No mms se te salio el pito enfrente de ela sin querer ,1,0
574,55,1,a mi me vale el estar solteria u no me quejo y si digo algo acerca del tema es de cura ,0,0
576,55,2,porque Por-Por ,0,0
578,55,2,si si lo veraz Por-Por ,0,0
579,55,1,No por que no me puedes obligar y punto ,0,0
580,55,2,si si puedo y no punto Por-Por ,0,0
581,55,1,No no puedes por que no eres nadie para mandarmr ,1,0
584,56,2,Ventas menos costo de ventas y eso te da ganancia o perdida ,0,0
586,56,2,si no es ganancia ,0,0
587,56,1,osea… ,0,0
588,56,2,Que estas bien bura caritaFeliz ,1,1
590,56,2,carital ,0,0
591,56,2,carital ,0,0
593,56,2,caritar ,0,0
595,56,1,Si lo eres ,1,0
596,56,2,No u ,0,0
598,57,2,No vale ala fotos que acoso se subir ala de perfil u ,0,0
600,57,1,Estas pendejo si crees que le dare like a la foto que subiste ,1,1
602,57,1,El Mas luser caritaFeliz ,1,0
604,57,1,El Mas idiota Por^Por caritaFeliz ,1,0
607,57,2,la Mas menza ,1,0
610,58,2,Bueno que querias en ese momento ,0,0
611,58,1,Nada no mas darte lata ,1,0
613,58,1,Ja ,0,0
616,58,1,Ja a mi no me han dado esa clase ,0,0
618,58,1,Tu ,1,0
619,59,2,De nada fea ,1,1
620,59,1,Para [@usuario_ext1] caritaFeliz ,0,0
624,60,2,caritae ,0,0
625,60,1,caritao ,1,1
627,60,1,caritaj ,0,0
629,60,2,Buenas noches ,0,0
630,60,1,tampoco me amenaces ok ,1,0
631,60,1,caritau ,1,0
634,61,2,caritae ,1,0
638,61,2,unu ,0,0
641,61,1,Lo es cx ,1,0
642,61,1,Pero ya te los pusiste ya dejatelos caritaFeliz ,0,0
643,61,2,Me los quitare ,0,0
644,61,1,No we puro pedo ,1,0
647,63,1,Es un pendejo ,1,0
648,64,2,Pero soy como los vinos mas viejo pero mas bueno y tu eres vieja pero sin gracia Matame eda ,1,1
650,64,1,Lleno de mo ,1,0
653,64,2,caritae ,1,0
655,65,2,Querer es poder ,1,0
656,65,3,caritap ,1,0
660,65,1,[img60] ,1,0
662,65,6,Yo tengo una mejor que esa caritaTriste ,1,0
663,66,1,Mala ,1,1
664,66,2,Es prieto ,1,0
670,67,1,caritau ,1,0
672,67,1,jaja uy si patrona ,1,0
673,67,2,Y no reniegue ,1,0
674,67,1,jaja luego no me pagas ,1,0
675,67,2,caritau ,1,0
676,67,1,caritao ,1,0
677,67,2,carita ,1,0
678,67,1,caritau ,0,0
679,67,2,Quien va a querer fotos con un panda drogadicto jaja :'V ,1,0
681,67,2,Pero tu no te bañas jaja ,1,0
682,67,1,caritao ,0,0
683,67,2,[@usuario2]: 1 [@usuario1]: 0 ,0,0
684,67,3,caritau ,0,0
686,68,2,Que traes wey De que hablas ,0,0
687,68,1,Pa que la juegas nomas le hable la fer y ahi vas tras ela alv ,1,0
690,68,2,Si ni te he dicho nada por que se que no se fijaria en mi pero no me vengas con mierdas si aqui la culera eres tu ,1,0
691,68,1,Si we pero que casualidad que apenas hace unos dias hable con ela y le confese lo mucho que me gustaba te conte y ahi vas tras ela ,1,0
692,68,1,Neta esas mamadas no van ,1,0
693,68,1,Tu ni te animabas a hablar con ela porque no le eres de su tala y lo sabes ,1,0
695,69,1,caritai ,0,0
696,69,2,caritar ,0,0
699,69,1,Bay ,0,0
701,69,2,Adios basura ,1,0
702,70,2,Pareces señora sin ofender caritaFeliz ,1,1
703,70,1,No me ofendo jaja ,0,0
706,70,2,Que haces ,0,0
708,70,1,jaja ya tiraste tu mierda caritaFelizcaritaFelizcaritaFelizV ,1,0
709,71,1,[img709] ,1,1
710,71,2,Menjota caritaFeliz ,1,0
711,71,3,Que marika :u ,1,0
712,71,4,[meme712] Madres ¿Que pedo ,1,0
715,72,2,Si ,1,0
717,72,4,Que rika nariz caritaFeliz ,1,0
718,72,5,jaja hasta la pregunta ofende Claro quien va a querer ser tu novio Si estas bn p Feo ,1,0
725,72,12,caritao ,1,0
726,72,13,caritau ,1,0
729,72,16,Pareses bull terrier ,1,0
730,73,1,caritao ,1,1
731,73,2,Esa mora meca tiene pedos con su cara ,1,0
736,74,2,y eso cuando te lo pusiste ,0,0
737,74,1,Ayer ,0,0
738,74,2,aaa no mames la vd ,1,0
741,74,2,te pareces a un toro ,1,1
743,74,2,jaja cuando tiempo sin hablar ,0,0
744,74,2,vas bine en tus estudios loca ,1,0
745,74,1,Claro ,0,0
750,74,2,Al fin Ke contestas loca ,1,0
751,74,2,caritae ,1,0
753,74,2,Fea ya te olvidaste de mi ,1,0
757,74,2,Buenos dias fiona ,1,0
759,74,2,[@usuario1] estas bn no te sientes mal ,0,0
760,74,2,Si kierez voy por ti ,0,0
761,74,2,carita ,0,0
764,74,1,YA TE MAMASTE jaja ,1,0
765,74,2,jaja me pase de cacahuate lo vistes o fue tu iluminacion ,0,0
773,74,2,Salimos ,0,0
777,74,2,Nomas ,0,0
778,74,2,Tu vato es vieja ,1,0
781,74,1,Pero no tu fea ,1,0
788,74,2,Cuando entramos de vacaciones ,0,0
789,74,2,Ke pedo mora ,1,0
791,74,2,[@usuario1] Vamos ala guera de Vietman ,1,0
793,74,2,caritao ,0,0
794,74,2,Deja publicar de tus drogas ,1,0
796,74,2,caritao ,0,0
797,74,2,[img797] ,1,0
798,74,2,Mia amor como estas enojada conmigo ,1,0
802,74,1,Que ,0,0
804,74,2,Nada bye ,0,0
805,74,2,Te voy a culiar ,1,0
808,75,2,Me estas dando un poco de miedo ,1,0
810,75,1,Si me ha hablado mucho de ti bastante diria yo ,0,0
811,75,2,Encerio ,0,0
812,75,2,Esta pendejo ese wew y yo casi ni le hablo ,1,1
814,75,1,Varias cosas pero supongo que no deberia hablarte ,1,0
817,75,1,Por lo que me dijo ,0,0
819,75,1,No lo quiero hechar de cabeza jaja ,1,0
822,75,2,Ademas hace cuanto e conto eso si nisiquiera se a conectado el inutil ,1,0
824,75,2,No manches tgusta esa madre jaja Ya dime que te dijo ,1,0
826,75,1,Que grosero ,1,0
829,75,1,Como si fuera que o que ,0,0
831,75,1,Tu que vas a saber si no lo conoces ,0,0
834,75,2,No lo conozco pero se ve que es muy serio y amargado nada divertido ,1,0
837,76,1,[img837] No deberian pintarse la boca ,1,0
838,76,2,[@usuario3] jaja no se creas ,1,1
839,76,3,Yo ya no me la pinto asi ,0,0
840,76,2,yo ya no ,0,0
843,76,2,jaja ,1,0
846,77,2,caritan ,0,0
849,77,3,pandonde Van ,0,0
851,77,1,Reserva de los indios ,1,1
852,77,4,caritao ,1,0
858,78,1,Neta que no se que train contra mi la verdad pero ya equis ahi es cuanto te das cuenta y con quien no ya estoy arta de este tema neta ,0,1
859,78,2,Nose por que no dejan que este tema nada mas se desvanezca y ya ,0,0
860,78,2,Hacen un desmadre por una pendejadita ,1,0
863,78,2,caritan ,0,0
865,79,2,No te queria molestar perdon de casualidad no sabes que hay de tarea ,0,0
867,79,2,No es mi intencion si quieres ya no te hablo solo queria saber que es la tarea porque me fui temprano ,0,0
870,79,1,Porque no me interesa que seas bueno conmigo ,1,0
871,80,1,Hola zoras ,1,1
872,80,2,Tu que ,1,0
873,80,3,jaja hola babosa ,1,0
879,80,2,caritan ,1,0
880,81,2,caritao ,1,1
881,81,2,Se me hace estupido ,1,0
883,81,3,No mames que asco ,1,0
886,81,5,Hola pinches cerdas hjas de su puta madre ,1,0
889,81,5,chupas ,1,0
890,82,1,Tu que mamona ,1,1
893,82,2,Pinche exagerada ,1,0
894,82,1,Estas bien pendeja ,1,0
896,82,2,[audio] ,0,0
897,82,1,No voy a escuchar tu pinche audio ,1,0
898,82,1,Estas bien pendeja ,1,0
902,83,1,Porque no me contestas ,1,0
905,83,1,Estas ahi ,1,0
906,83,1,Putita ,1,0
910,83,1,Bien que en persona ,1,0
911,83,1,No eres asi lorona ,1,0
916,84,2,Que le valga vrga es mi vida consiguete una ,1,0
917,84,1,Me gusta la tuya puto jaja ,1,0
918,85,1,No mms pinche moro ,1,1
919,85,2,Esa pendejo jaja la neta la cago mas con sus historias ,1,0
920,85,2,La cago y luego la embaro ,1,0
921,85,3,Se ve bien estupido ,1,0
922,85,3,O sea el cogiendo con medio mundo y ela besa a alguien y ya uf le rompio el corazon ,1,0
925,85,5,Pasan un chingo menos ese jaja caritaTriste ,0,0
926,86,1,Para que la quieres ,0,0
927,86,1,Que es lo que quieres ,0,0
929,86,2,solo queria saber que aremos ,1,0
932,86,1,Bye ,0,0
933,86,1,No me hables ,1,0
934,86,2,ahora si no pensativa ,1,0
938,87,1,Me suena pero en los bajos mundos ,1,1
940,87,3,Siguele pera ,1,0
942,87,2,caritar ,0,0
944,87,1,jaja ya pues pidele atu bato mis fotos ,0,0
946,87,3,No me saludaste ,0,0
947,87,3,El dia del cumpleaños de feo ,0,0
952,88,2,Me quede como wtd ,1,0
953,88,1,caritan ,1,1
955,88,2,Neta ,0,0
957,88,2,LlamaPor ,0,0
958,88,1,[@usuario_ext1] algo asi ,0,0
959,88,2,caritai ,1,0
961,89,1,caritao ,1,1
962,89,2,Calate piojosa ,1,0
964,89,2,Me lastimas caritaConfusa ,0,0
965,89,1,Hola tonta ,1,0
970,89,2,Me la pelas ,1,0
972,90,2,Ya mire porque te ponias mamonsita ,1,1
974,90,2,Ahora comprendo jaja salu2 cambio y fuera ,1,0
975,90,1,jaja por que me pongo mamonsita  ,0,0
977,90,1,No entiendo tu referencia bro ,0,0
979,90,2,Alomejor ,0,0
983,90,2,Si querias saber ,0,0
992,91,1,No vengas ,1,0
995,91,1,Todo pendejito ,1,0
997,91,1,jajana ,1,0
998,92,1,Lady 15 centavos ,1,1
1001,92,2,caritae ,0,0
1002,92,3,Pinche mora pendeja se equivoco de micro parece oaxaca tuvo que agarar el maneadero zorilo ,1,0
1004,92,3,Ps es menos de lo que se merece esa pinche mora pendeja umilo al pobre chofery asta tubo suerte la mora por que hay unos choferes que son culeros la ubieran bajado ,1,0
1013,92,13,caritai ,1,0
1014,92,10,Pinche vieja sara kese compre su caro para keno este cjingando ,1,0
1015,92,14,Es una serota sentro amercana ,1,0
1016,92,15,Que muerta de hambre la verdad ,1,0
1017,92,16,Quemenla por ridicula ,1,0
1018,92,17,Pobre pendeja le hubiera regresado su dinero y ke se bajara ,1,0
1020,93,2,Ya te mire ,0,0
1023,93,1,Que pasa caritaConfusa ,0,0
1029,93,2,Valiste verga ,1,0
1031,94,3,Tu que ,1,0
1032,94,1,jaja hola babosa ,1,0
1034,94,4,Zora tu ,1,0
1037,94,2,Pinchis zoritas que andan haciendo ,1,0
1038,94,3,caritan ,1,0
1041,95,2,Pinche mora ,1,1
1042,95,1,Tu que wey alv ,1,0
1046,95,1,Puro raza blanca a qui ,1,0
1048,96,1,caritai ,1,1
1049,96,1,Se me hace estupido ,1,0
1050,96,1,No se a ustedes ,0,0
1051,97,1,Seguiria leyendo tus mamadas pero tengo mucha tarea bye ,1,1
1052,97,2,Ruda pero justa ,0,0
1053,98,1,Se caso ,0,0
1054,98,2,jaja la puta ,1,1
1056,98,3,No jaja ,1,0
1057,98,2,Es bien puta pura verga se casa ,1,0
1058,98,4,jaja ,1,0
1060,98,1,Groseras Por ,0,0
1061,99,2,No ,0,0
1062,99,2,Nadie te quiere ,1,1
1064,99,2,caritaFeliz ,1,0
1065,99,1,Me dolio ,0,0
1067,100,2,Pinche cagasona ,1,1
1069,100,2,Pero no te das cuenta que nada puede lenar ese vacio existencial que cargas caritaFeliz ,1,0
1072,101,2,Yo te digo como se me incha el huevo  puta flac desnutrida ,1,0
1077,102,1,caritaFeliz ,1,0
1081,103,1,Que pedo alv caritaTriste ,1,0
1086,105,2,de donde ,0,0
1089,106,1,jaja me la peleichon tu y tu putaseichon ,1,0
1092,107,2,Quieres ir hacer algo ,0,0
1093,107,2,Contigo ni a la esquina jaja ,1,1
1096,107,2,Che mora todavia que te invito te pones los moños ,1,0
1098,108,2,A la tuya ni con agua oxigenada le queda ,1,0
1099,109,2,caritai ,1,1
1100,109,1,Calate piojosa ,1,0
1102,109,1,Me lastimas caritaConfusa ,0,0
1106,111,1,Que te pasa caritaConfusa ,0,0
1110,112,2,Okey ,0,0
1114,112,2,Eres muy fria bastarda ,1,0
1115,112,2,Te odio ,1,0
1116,112,2,Aveces me dan ganas de agararte a putazos alv ,1,0
1117,112,2,Vete mucha a la verga como el dia que me dijis ,1,0
1118,113,2,Pues vete a la verga entonces ,1,1
1121,113,1,Te valgo verga caritaConfusa ,1,0
1124,115,2,Hey idiota pasame la tarea ,1,1
1126,115,2,[meme126] ,1,0
1129,116,2,:'v ,0,0
1130,117,1,Hola ,0,0
1131,117,2,Que quieres pera ,1,1
1136,117,2,Calate o te voy a hacer mi pera ,1,0
1138,118,2,Haces PorPorPor ,0,0
1139,118,1,Tu todo flaco esqueletico caritaTriste ,1,0
1141,118,1,Ejercicio y listo lo estupido con anda se te quita ,1,0
1144,119,1,Cual profe  ,0,0
1152,121,2,Pinche huerfana ,1,0
1153,121,1,Tu mama se pinta el cabelo con agua oxigenada ,1,0
1154,121,2,Tus papas son primos ,1,0
1155,122,2,Me vale 3 hectareas de lonja como la beisbol pro ,1,1
1156,122,1,Tu que pinche cerdo ,1,0
1158,123,2,Hola buenas tardes estaba viendo tus fotos en Facebok y creo que eres horible ,1,1
1159,123,1,A que te refieres ,0,0
1161,123,1,Por que si no te eh hecho nada caritaConfusa ,0,0
1169,124,2,Ta bien pendeja ,1,0
1171,125,2,Pero esto me hace pensar que ya anda bien clavado ,0,0
1172,125,1,Como ,0,0
1173,125,2,Y que lo que dice de que no le pesa dejarla es puro vervo ,1,1
1174,125,1,Neta no ,0,0
1176,125,2,Pues entonses no se la mame ,1,0
1178,126,1,caritai ,0,0
1182,127,1,Esta foto no mams ,1,1
1183,127,1,Todavia no tuviera bato ,1,0
1184,127,1,Pero que puta necesidad tienend e andar enseñando el culo ,1,0
1187,127,1,Pero mams ,1,0
1188,128,1,Esto no es un jaja esto ya se acabo definitivamente eres un puto cerdo de lo peor desearia no a verte conocido nunca me gustaste por diferente y me saliste peor Lo de ayer estabamos jugando jamas deviste dejas abierto tu fb en mi cel jamas te quiero volver a ver ,1,1
