id_instance,id_conversation,user_code,transcription,Palabras,id_tone,Bullying,detonator_dialogue,Palabra Unica,Total,Hombres,Mujeres,Interaccion
123,15,1,Quier que le ensarten el espadon y quedqr vivo caritaFeliz ,"ensarten,espadon,quedqr,",1,1,1,3,3,3,0,3
134,16,2,Que escogeremos lo que lo ponga mas incomodo ,"ponga,incomodo,",1,1,0,2,2,2,0,3
129,16,1,Mm ya veo No lo dejen ser pony ni unicornio no es nada personal [@usuario_ext1] ,"unicornio,",1,1,1,1,2,2,0,3
128,16,2,Lo votaremos en la primera sesion ordinaria de la fraternidad ,"votaremos,primera,sesion,ordinaria,fraternidad,",0,0,0,5,2,2,0,3
127,16,2,Aun no esta decidido ,"decidido,",0,0,0,1,2,2,0,3
126,16,1,¿que tipo de botarga sera [usuario_ext1] ,"botarga,",1,1,0,1,2,2,0,3
140,17,1,El disque dijiste el nombre de la mora que te gusta ,"disque,",1,1,0,1,2,2,0,3
138,17,1,Porque debemos hacer aniversario de esa fecha ,"aniversario,",1,1,0,1,2,2,0,3
148,18,2,se nota que no estas en onda ,,1,1,0,0,3,3,0,3
145,18,3,Saludar a la gente es muy de los 20's men ,,1,1,0,0,3,3,0,3
143,18,1,jaja ,,0,0,0,0,3,3,0,3
150,19,1,encontre la cancion del [@usuario_ext1] ,,0,0,1,0,1,1,0,1
149,19,1,wey ,,0,0,0,0,1,1,0,1
163,20,1, ,,0,0,0,0,3,3,0,1
162,20,2,O hare que te mires tu propio culo de cerca ,"mires,",1,1,0,1,3,3,0,1
161,20,2,No compines el culo con las pestañas ,"compines,pestañas,",1,1,0,2,3,3,0,1
158,20,1,yp pense si quedaba le tiempo ,"quedaba,",0,0,0,1,3,3,0,1
156,20,1,si ya se ,,0,0,0,0,3,3,0,1
155,20,3,Eso es un asunto diferente ,,0,0,0,0,3,3,0,1
153,20,2,No [@usuario1] ,,0,0,0,0,3,3,0,1
152,20,1,jugaremos rol en la junta ,"jugaremos,",0,0,0,1,3,3,0,1
176,21,2,te estas viendo lento moro ,,1,1,0,0,3,3,0,3
175,21,1,no ,,0,0,0,0,3,3,0,3
174,21,3,Es tu sugar momy [@usuario1] ,,1,1,0,0,3,3,0,3
172,21,1,no e cuesta nada caritaTriste ,"cuesta,",1,1,0,1,3,3,0,3
171,21,1,gana como 9ml pesos ala quisena jaja ,"gana,9ml,quisena,",0,0,0,3,3,3,0,3
170,21,1,jaja si ,,0,0,0,0,3,3,0,3
168,21,1,jaja que no caritaTriste ,,0,0,0,0,3,3,0,3
167,21,2,y ya te la cogiste ,"cogiste,",1,1,1,1,3,3,0,3
165,21,1,pero ayer me levo a comer y todo caritaTriste ,,0,0,0,0,3,3,0,3
182,22,2,porque no quieres ,,1,1,0,0,3,3,0,3
193,23,1,caritaTriste ,,0,0,0,0,2,2,0,1
189,23,2,No ,,0,0,0,0,2,2,0,1
188,23,1, ,,0,0,0,0,2,2,0,1
204,24,2,si no serias igual que el resto de nosotros ,"serias,",1,1,0,1,2,2,0,4
201,24,1,jaja es nuestro tema mas popular caritaTriste ,"popular,",1,1,0,1,2,2,0,4
199,24,2,eso ,,0,0,0,0,2,2,0,4
198,24,2,ya empezamos con la depresion ,"depresion,",1,1,1,1,2,2,0,4
197,24,2,jhe ,"jhe,",0,0,0,1,2,2,0,4
210,25,3,jaja ,,1,1,0,0,4,4,0,1
209,25,4,de una vez dile que se la quieres chupar ,"chupar,",1,1,1,1,4,4,0,1
208,25,3,caritaFeliz ,,0,0,0,0,4,4,0,1
206,25,2,Preguntare a que hora terminamos para ir a la escuela ,"terminamos,",0,0,0,1,4,4,0,1
205,25,1,Si voy mañana ,,0,0,0,0,4,4,0,1
213,26,1,lo que significa que tu ex era hombre ,"significa,",1,1,0,1,5,5,0,3
211,26,1,[@usuario3] las mujeres no tienen pene ,"mujeres,pene,",1,1,1,2,5,5,0,3
229,27,2,No ,,0,0,0,0,2,2,0,1
227,27,2,jaja ,,1,1,0,0,2,2,0,1
225,27,1,Y todo esto sin siquiera acercarte lo suficiente para probar sus labios ,"acercarte,suficiente,probar,labios,",1,1,0,4,2,2,0,1
224,27,1,Es que se merme tu cartera te sientas humilado te quieras morir ela te deje de hablar y caigas en el pozo de la desesperacion ,"merme,cartera,sientas,humilado,morir,caigas,pozo,desesperacion,",1,1,1,8,2,2,0,1
222,27,1,De todas formas no estas con ela ahorita ,,0,0,0,0,2,2,0,1
237,28,2,Igual si me contestan o no da igual jajas no me afecta yo sigo viendo anime caritaFeliz ,"afecta,anime,",0,0,0,2,2,2,0,2
236,28,1,Para que te lo paten ,"paten,",1,1,0,1,2,2,0,2
235,28,2,Y yo me ir de campo regreso el domingo ,"campo,regreso,domingo,",0,0,0,3,2,2,0,2
231,28,1,Quieren pinches retas o que putos ,"retas,",1,1,1,1,2,2,0,2
245,29,1,Pinche moro culo ,,1,1,0,0,2,2,0,3
243,29,2,[@usuario_ext2] la tiene de amiga en face y no le habla ,,1,1,1,0,2,2,0,3
242,29,1,Bien ,,0,0,0,0,2,2,0,3
240,29,1,Asi se llama por si la quieren buscar ,,0,0,0,0,2,2,0,3
257,30,3,Especialmente si solo es firmar ,"firmar,",1,1,0,1,3,3,0,1
256,30,1, ,,0,0,0,0,3,3,0,1
254,30,1,Aunque sea de la forma legal de ir solo a firnar ,"legal,firnar,",1,1,0,2,3,3,0,1
253,30,1,Al menos por interes ,"interes,",1,1,0,1,3,3,0,1
252,30,1,Asi que te casaras con un individuo ,"casaras,individuo,",1,1,0,2,3,3,0,1
247,30,1,Voy a ser uno de tus padrinos de boda ,"padrinos,",0,0,0,1,3,3,0,1
246,30,1,[@usuario2] ,,0,0,0,0,3,3,0,1
291,31,2,Ni al caso con tu comentario ,"comentario,",1,1,0,1,2,1,1,1
290,31,2,Que te sucede nms ,,1,1,0,0,2,1,1,1
289,31,1,No todo gira a tu alrededor cariño asi que bye no te volvere a hablar [@usuario1]: alv ,"gira,alrededor,volvere,",1,1,0,3,2,1,1,1
288,31,1,caritae ,,1,1,0,0,2,1,1,1
287,31,1,Para que Para tener una conversacion ,"conversacion,",1,1,0,1,2,1,1,1
285,31,2,caritan ,,1,1,0,0,2,1,1,1
284,31,1,Estoy acostado valiendo madres ,"acostado,valiendo,",0,0,0,2,2,1,1,1
283,31,1,jaja ,,0,0,0,0,2,1,1,1
282,31,1,Nah ni estoy viendo nada ,,0,0,0,0,2,1,1,1
280,31,1,ora ,"ora,",0,0,0,1,2,1,1,1
279,31,1,jaja ,,0,0,0,0,2,1,1,1
278,31,2,Nms [@usuario1] ya es media noche y tu con tus cosas jaja ,"media,",1,1,0,1,2,1,1,1
277,31,1,Yo estoy viendo que hacer caritaTriste o no hacer ,,0,0,0,0,2,1,1,1
274,31,2,Estoy mirando if i stay ,"if,stay,",0,0,0,2,2,1,1,1
273,31,1,Y ya no hice nada ,,0,0,0,0,2,1,1,1
269,31,1,Nada en mi casa y usted ,,0,0,0,0,2,1,1,1
267,31,1,caritab ,,0,0,0,0,2,1,1,1
305,33,1,eras un poco odioso y bueno todos lo fuimos alguna vez caritaFeliz ,"odioso,fuimos,alguna,",1,1,0,3,4,4,0,4
304,33,4,caritaFeliz ,,1,1,0,0,4,4,0,4
302,33,2,Una vez jugamos eso en mi casa con [@usuario3] y [@usuario_ext1] le dio una patada y [@usuario3] casi se moria  ,"dio,patada,moria,",1,1,0,3,4,4,0,4
296,33,1,[@usuario2] recuerdas cuando jugamos parted chilona en tu casa ,"recuerdas,parted,chilona,",0,0,0,3,4,4,0,4
311,34,3,Na no no le va ir peor ,,1,1,0,0,4,2,2,3
309,34,4,Si no te metas ,,1,1,0,0,4,2,2,3
317,35,1,Hay no me ataquen ,"ataquen,",0,0,0,1,4,2,2,3
315,35,3,Si tu que ,,1,1,0,0,4,2,2,3
313,35,1,Hola ,,0,0,0,0,4,2,2,3
333,36,1,caritaFeliz ,,1,1,0,0,3,2,1,2
332,36,2,A ok ,,0,0,0,0,3,2,1,2
328,36,1,Quien sigue ahi ,,0,0,0,0,3,2,1,2
327,36,2,caritao ,,1,1,0,0,3,2,1,2
323,36,2,[@usuario3] no pienso en ti la verdad no te conozco ,"pienso,",1,1,0,1,3,2,1,2
320,36,1,Kha ,,0,0,0,0,3,2,1,2
318,36,2,Te tolero bajo ciertas circunstancias ,"tolero,",1,1,1,1,3,2,1,2
339,37,2,No estes chocando [@usuario1] ,"chocando,",1,1,0,1,4,4,0,4
334,37,1,Alguien se levo las laves del profe [@usuario_ext1] ,"laves,",0,0,0,1,4,4,0,4
345,38,4,No se si es broma o realmente existe gente tan pendeja como este wey caritaFeliz ,"broma,",1,1,0,1,4,4,0,3
344,38,1,Nop ,,0,0,0,0,4,4,0,3
342,38,2,A mi me vale verga pinche sedoso de cagada caritaFeliz ,"sedoso,cagada,",1,1,1,2,4,4,0,3
341,38,1,Confiezo que nunca he tenido novia tengo 22 años y los acabo de cumplir solo he tenido novios ,,0,0,0,0,4,4,0,3
352,39,1,[meme352] ,,0,0,0,0,2,2,0,1
348,39,1,[meme348] ,,1,1,0,0,2,2,0,1
347,39,2,[meme347] ,,1,1,0,0,2,2,0,1
374,40,2,A si de pelada ,"pelada,",1,1,0,1,2,2,0,1
373,40,1,No mames ,,1,1,0,0,2,2,0,1
369,40,2,Normal ,,0,0,0,0,2,2,0,1
366,40,1,jaja ,,1,1,0,0,2,2,0,1
365,40,1,Ese moro ,,1,1,0,0,2,2,0,1
362,40,2,Y yo ya legue ,,1,1,0,0,2,2,0,1
360,40,2,Cuando yo ya legue ,,1,1,0,0,2,2,0,1
359,40,2,jaja tu apenas vas wey ,,1,1,0,0,2,2,0,1
354,40,1,Si existen los angulos negativos ,"existen,angulos,negativos,",0,0,0,3,2,2,0,1
378,41,1,En lugar del niño deberia de tener la foto de la [@usuario_ext1] ,,1,1,0,0,2,0,2,4
377,41,1,[img37] ,,1,1,0,0,2,0,2,4
375,41,1,la pug en la graduacion me miro feo Y cuando estaba atras de mi grito la beyda aguas con la pug ,"graduacion,miro,grito,beyda,aguas,",1,1,1,5,2,0,2,4
383,42,1,caritao ,,1,1,0,0,2,0,2,1
381,42,1,mucha risa niñita pendeja ,,1,1,1,0,2,0,2,1
380,42,2,jaja ,,0,0,0,0,2,0,2,1
379,42,1,no tires ladona a labasura yo voy por ela ,"tires,ladona,labasura,",0,0,0,3,2,0,2,1
395,45,1,caritar ,,0,0,0,0,2,1,1,1
394,45,2,pues si no manches bura la maestra lo ecaritaFelizlico un chingo de veces para que salgas con eso mejor ya matate que nadie te quiere pinche nerd ,"maestra,",1,1,0,1,2,1,1,1
391,45,1,caritao ,,0,0,0,0,2,1,1,1
401,46,1,Mm ,,0,0,0,0,2,0,2,1
398,46,2,Claro que no estupida ,,1,1,1,0,2,0,2,1
406,47,2,Menos te la voy a pasar por baboso ,,1,1,0,0,2,2,0,1
405,47,2,Aprende a escribir baboso ,,1,1,0,0,2,2,0,1
404,47,1,Porque me hablad asi solo te estoy pidiendo un favor ,"hablad,",0,0,0,1,2,2,0,1
403,47,2,No por que me caes mal idiota ,,1,1,1,0,2,2,0,1
402,47,1,Hola me puedes ecaritaFelizlicar algo sobre la tarea Porfavor ,,0,0,0,0,2,2,0,1
412,48,2,A que hora la nesecitas para ver la si la termino mañana por que yo tambien Tengo que hacer mi tarea ,"nesecitas,",0,0,0,1,2,2,0,1
408,48,2,No aun no ,,0,0,0,0,2,2,0,1
418,49,2,Eres demasiado aplicada y eso no va conmigo tonta ,"demasiado,aplicada,",1,1,0,2,2,1,1,1
417,49,2,tu me caes mal ,,1,1,0,0,2,1,1,1
416,49,2,Pero prefiero la ayuda de los otros ,,0,0,0,0,2,1,1,1
499,50,4,Te la meto hasta el cerebro ,,1,1,0,0,5,5,0,4
497,50,2,Uu flow ,,0,0,0,0,5,5,0,4
496,50,4,[@usuario5] de mother fucker jaja ,"mother,fucker,",1,1,0,2,5,5,0,4
495,50,5,[meme495] ,,1,1,0,0,5,5,0,4
493,50,5,[meme493] ,,1,1,0,0,5,5,0,4
491,50,4,te equivocas era leche en polvo ,"equivocas,leche,polvo,",1,1,0,3,5,5,0,4
489,50,4,o sera que quieren pito ,,1,1,0,0,5,5,0,4
487,50,3,jaja clavo no seas mamon [@usuario5] jaja ,,1,1,0,0,5,5,0,4
486,50,5,le meti mi clavo wero ,,1,1,0,0,5,5,0,4
485,50,5,tu choncha panocha negra ,"choncha,",1,1,0,1,5,5,0,4
484,50,4,la pura concha ,"concha,",1,1,0,1,5,5,0,4
482,50,3,jaja que pedo [@usuario4] ,,1,1,0,0,5,5,0,4
480,50,3,jaja que pedo [@usuario5] que porque eres señorita ,"señorita,",1,1,0,1,5,5,0,4
478,50,3,jaja que pedo [@usuario5] te descubrieron ,"descubrieron,",1,1,0,1,5,5,0,4
476,50,3,come y que te leguen hasta el cerebro jaja ,"leguen,",1,1,0,1,5,5,0,4
473,50,4,el ñengo ,"ñengo,",1,1,0,1,5,5,0,4
472,50,2,[meme472] ,,1,1,0,0,5,5,0,4
470,50,4,o que [@usuario2] ,,0,0,0,0,5,5,0,4
469,50,5,lo traes atras ya mira la cebe'p ,,0,0,0,0,5,5,0,4
468,50,4,te awitas ,"awitas,",1,1,0,1,5,5,0,4
467,50,4,jaja riendo ,"riendo,",1,1,0,1,5,5,0,4
465,50,3,jaja ,,1,1,0,0,5,5,0,4
464,50,3,jaja pito al carbon ,"carbon,",1,1,0,1,5,5,0,4
463,50,3,la verga inchada que traigo de campana ding ding ding… hora de comer [@usuario5] ,"inchada,campana,",1,1,0,2,5,5,0,4
462,50,5,hermana mi macana ,,1,1,0,0,5,5,0,4
458,50,4,Esa mamada ,,1,1,0,0,5,5,0,4
457,50,5,jaja te la rifaste ,"rifaste,",1,1,0,1,5,5,0,4
455,50,3,no mames [@usuario4] alivianate wey ya estas grande para que andes con tus mamadas en el pito ,"alivianate,",1,1,0,1,5,5,0,4
454,50,5,agua con el naristoteles ,"naristoteles,",1,1,0,1,5,5,0,4
453,50,4,es negra ,,1,1,0,0,5,5,0,4
450,50,3,hey weyes no dejan escribir ,"weyes,",0,0,0,1,5,5,0,4
449,50,4,Esta ,,0,0,0,0,5,5,0,4
447,50,5,Ponte pecho tiera pues jaja ,"tiera,",1,1,0,1,5,5,0,4
444,50,5,no mas porque estamos entre negros no le hablan al wero ,"hablan,",1,1,0,1,5,5,0,4
441,50,5,perdon dia internacional del mas narizon ,"internacional,",1,1,0,1,5,5,0,4
440,50,5,ay va tu selfie ,,1,1,0,0,5,5,0,4
439,50,5,Estoy bien narizon ,,1,1,0,0,5,5,0,4
438,50,3,[meme438] ,,1,1,0,0,5,5,0,4
434,50,2,[meme434] ,,1,1,0,0,5,5,0,4
432,50,5,[meme432] ,,1,1,0,0,5,5,0,4
431,50,2,jaja el [@usuario4] anda con todo con la [@usuario_ext1] ,,1,1,0,0,5,5,0,4
430,50,3,[meme430]  ,,1,1,0,0,5,5,0,4
429,50,4,Pegame un mamadon en la pura cabezona 8============D-- ,"mamadon,cabezona,",1,1,0,2,5,5,0,4
428,50,1,carita ,"carita,",0,0,0,1,5,5,0,4
427,50,3,jaja ii ,"ii,",1,1,0,1,5,5,0,4
426,50,3,jaja celosa jaja no te enojes mija tambien te dare verga a ti ,"enojes,",1,1,0,1,5,5,0,4
422,50,2,jaja ,,1,1,0,0,5,5,0,4
421,50,1,carita ,"carita,",0,0,0,1,5,5,0,4
420,50,1,No wey y el otro dia que fui a dar un rol con el [@usuario5] en baica ,"baica,",1,1,1,1,5,5,0,4
419,50,1,[img419] ,,0,0,0,0,5,5,0,4
519,51,1,naco ,,1,1,0,0,2,1,1,1
516,51,2,no me digas asi u ya no caritaTriste ,,0,0,0,0,2,1,1,1
515,51,1,naco ,,1,1,0,0,2,1,1,1
514,51,2,carital ,,0,0,0,0,2,1,1,1
513,51,1,se te pego mas bien ,,1,1,0,0,2,1,1,1
512,51,1,pero se te quedo lo naco ,,1,1,0,0,2,1,1,1
510,51,1,Entonces usabas de esas o mas bien aun la sigues usando ,"usabas,",1,1,0,1,2,1,1,1
509,51,1,[img509] calculadora conalep ,"calculadora,",1,1,0,1,2,1,1,1
507,51,2,Pero yo no era como los nacia de ahi caritaTriste ,"nacia,",0,0,0,1,2,1,1,1
503,51,2,caritao ,,1,1,0,0,2,1,1,1
501,51,2,[@usuario1] tonta ee ,,1,1,0,0,2,1,1,1
535,52,3,Siempre ha sido naco caritaFeliz ,,1,1,0,0,8,5,3,3
534,52,1,Tipo rosa de Guadalupe we caritaFeliz ,"rosa,",1,1,0,1,8,5,3,3
530,52,6,Matenme ,,1,1,0,0,8,5,3,3
525,52,3,No es cierto ,,0,0,0,0,8,5,3,3
521,52,1,caritaFeliz ,,0,0,0,0,8,5,3,3
547,53,1,Me toco en el edificio 1 de ciencias de la salud en el 36 caritaTristed ,"edificio,salud,",0,0,0,2,2,1,1,1
545,53,2,Tambien ,,0,0,0,0,2,1,1,1
568,54,3,No mms se te salio el pito enfrente de ela sin querer ,"salio,enfrente,",1,1,0,2,5,4,1,3
567,54,3,jaja ,,1,1,0,0,5,4,1,3
566,54,8,jaja no en persona caritaFeliz ,,1,1,0,0,5,4,1,3
563,54,3,Pinche gordito :0 ,"gordito,",1,1,0,1,5,4,1,3
562,54,9, ,,0,0,0,0,5,4,1,3
561,54,9,Vale animal ,,1,1,0,0,5,4,1,3
557,54,1,No mms caritaFeliz ,,1,1,0,0,5,4,1,3
556,54,8,A venderse mas bien ,"venderse,",1,1,0,1,5,4,1,3
555,54,1,Saldras a espantar a los niños caritaFeliz ,"espantar,",1,1,0,1,5,4,1,3
553,54,8,Pronto la [@usuario1] caritaTriste ,,1,1,0,0,5,4,1,3
552,54,1,Quien es una bruja puta caritaFeliz ,"bruja,",1,1,1,1,5,4,1,3
551,54,8,El paco no esta caritaTriste ,,1,1,0,0,5,4,1,3
550,54,3,[@usuario_ext1] [@usuario_ext2] ,,1,1,0,0,5,4,1,3
581,55,1,No no puedes por que no eres nadie para mandarmr ,"mandarmr,",1,1,0,1,2,1,1,1
580,55,2,si si puedo y no punto Por-Por ,,0,0,0,0,2,1,1,1
579,55,1,No por que no me puedes obligar y punto ,"obligar,",0,0,0,1,2,1,1,1
578,55,2,si si lo veraz Por-Por ,"veraz,",0,0,0,1,2,1,1,1
576,55,2,porque Por-Por ,,0,0,0,0,2,1,1,1
574,55,1,a mi me vale el estar solteria u no me quejo y si digo algo acerca del tema es de cura ,"solteria,quejo,acerca,",0,0,0,3,2,1,1,1
596,56,2,No u ,,0,0,0,0,2,1,1,1
595,56,1,Si lo eres ,,1,1,0,0,2,1,1,1
593,56,2,caritar ,,0,0,0,0,2,1,1,1
591,56,2,carital ,,0,0,0,0,2,1,1,1
590,56,2,carital ,,0,0,0,0,2,1,1,1
588,56,2,Que estas bien bura caritaFeliz ,,1,1,1,0,2,1,1,1
587,56,1,osea… ,,0,0,0,0,2,1,1,1
586,56,2,si no es ganancia ,,0,0,0,0,2,1,1,1
584,56,2,Ventas menos costo de ventas y eso te da ganancia o perdida ,"costo,",0,0,0,1,2,1,1,1
607,57,2,la Mas menza ,"menza,",1,1,0,1,2,1,1,1
604,57,1,El Mas idiota Por^Por caritaFeliz ,,1,1,0,0,2,1,1,1
602,57,1,El Mas luser caritaFeliz ,,1,1,0,0,2,1,1,1
600,57,1,Estas pendejo si crees que le dare like a la foto que subiste ,,1,1,1,0,2,1,1,1
598,57,2,No vale ala fotos que acoso se subir ala de perfil u ,"acoso,",0,0,0,1,2,1,1,1
618,58,1,Tu ,,1,1,0,0,2,1,1,1
616,58,1,Ja a mi no me han dado esa clase ,,0,0,0,0,2,1,1,1
613,58,1,Ja ,,0,0,0,0,2,1,1,1
611,58,1,Nada no mas darte lata ,"darte,lata,",1,1,0,2,2,1,1,1
610,58,2,Bueno que querias en ese momento ,,0,0,0,0,2,1,1,1
620,59,1,Para [@usuario_ext1] caritaFeliz ,,0,0,0,0,2,1,1,1
619,59,2,De nada fea ,,1,1,1,0,2,1,1,1
631,60,1,caritau ,,1,1,0,0,2,1,1,1
630,60,1,tampoco me amenaces ok ,"amenaces,",1,1,0,1,2,1,1,1
629,60,2,Buenas noches ,,0,0,0,0,2,1,1,1
627,60,1,caritaj ,,0,0,0,0,2,1,1,1
625,60,1,caritao ,,1,1,1,0,2,1,1,1
624,60,2,caritae ,,0,0,0,0,2,1,1,1
644,61,1,No we puro pedo ,,1,1,0,0,2,1,1,1
643,61,2,Me los quitare ,"quitare,",0,0,0,1,2,1,1,1
642,61,1,Pero ya te los pusiste ya dejatelos caritaFeliz ,"dejatelos,",0,0,0,1,2,1,1,1
641,61,1,Lo es cx ,"cx,",1,1,0,1,2,1,1,1
638,61,2,unu ,,0,0,0,0,2,1,1,1
634,61,2,caritae ,,1,1,0,0,2,1,1,1
647,63,1,Es un pendejo ,,1,1,0,0,1,1,0,1
653,64,2,caritae ,,1,1,0,0,2,1,1,1
650,64,1,Lleno de mo ,"mo,",1,1,0,1,2,1,1,1
648,64,2,Pero soy como los vinos mas viejo pero mas bueno y tu eres vieja pero sin gracia Matame eda ,"vinos,gracia,eda,",1,1,1,3,2,1,1,1
662,65,6,Yo tengo una mejor que esa caritaTriste ,,1,1,0,0,6,4,2,4
660,65,1,[img60] ,,1,1,0,0,6,4,2,4
656,65,3,caritap ,,1,1,0,0,6,4,2,4
655,65,2,Querer es poder ,,1,1,0,0,6,4,2,4
664,66,2,Es prieto ,,1,1,0,0,2,0,2,1
663,66,1,Mala ,,1,1,1,0,2,0,2,1
684,67,3,caritau ,,0,0,0,0,3,2,1,1
683,67,2,[@usuario2]: 1 [@usuario1]: 0 ,,0,0,0,0,3,2,1,1
682,67,1,caritao ,,0,0,0,0,3,2,1,1
681,67,2,Pero tu no te bañas jaja ,"bañas,",1,1,0,1,3,2,1,1
679,67,2,Quien va a querer fotos con un panda drogadicto jaja :'V ,"drogadicto,",1,1,0,1,3,2,1,1
678,67,1,caritau ,,0,0,0,0,3,2,1,1
677,67,2,carita ,"carita,",1,1,0,1,3,2,1,1
676,67,1,caritao ,,1,1,0,0,3,2,1,1
675,67,2,caritau ,,1,1,0,0,3,2,1,1
674,67,1,jaja luego no me pagas ,,1,1,0,0,3,2,1,1
673,67,2,Y no reniegue ,"reniegue,",1,1,0,1,3,2,1,1
672,67,1,jaja uy si patrona ,"patrona,",1,1,0,1,3,2,1,1
670,67,1,caritau ,,1,1,0,0,3,2,1,1
693,68,1,Tu ni te animabas a hablar con ela porque no le eres de su tala y lo sabes ,"animabas,",1,1,0,1,2,2,0,1
692,68,1,Neta esas mamadas no van ,,1,1,0,0,2,2,0,1
691,68,1,Si we pero que casualidad que apenas hace unos dias hable con ela y le confese lo mucho que me gustaba te conte y ahi vas tras ela ,"confese,conte,",1,1,0,2,2,2,0,1
690,68,2,Si ni te he dicho nada por que se que no se fijaria en mi pero no me vengas con mierdas si aqui la culera eres tu ,"fijaria,mierdas,",1,1,0,2,2,2,0,1
687,68,1,Pa que la juegas nomas le hable la fer y ahi vas tras ela alv ,"juegas,fer,",1,1,0,2,2,2,0,1
